Ulasan,Label
"['pantainya', 'terawat', 'kurangnya', 'fasilitas']",Negatif
"['suasana', 'laut', 'tenang', 'hamparan', 'pasir', 'putih', 'hijaunya', 'pepohonan', 'cemara', 'udang', 'aman', 'anak', 'mandi']",Positif
"['pantai', 'indah', 'rekreasi', 'warga', 'kota', 'sumenep', 'pantainya', 'bersih', 'dijelajahi', 'kuda', 'pohon', 'cemara', 'udang', 'dijual', 'bonsai', 'cemara', 'udang', 'indah', 'dibawa', 'pulang']",Positif
"['pantai', 'pantai', 'slopeng', 'pantai', 'asri', 'sejuk', 'nyaman', 'hamparan', 'pasir', 'putih', 'mempesona', 'suara', 'kicauan', 'burung', 'angin', 'laut', 'semilir', 'ombak', 'menarik', 'pohon', 'cemara', 'udang', 'sangat', 'indah😍😍✨✨', '…']",Positif
"['bagus', 'lumayan', 'bersih', 'air', 'bersih', 'tapi', 'parkiran']",Positif
"['akses', 'jalan', 'pantai', 'rusakk', 'kurag', 'memadai', 'semapt', 'kesasar', 'wktu', 'pkek', 'google', 'maps', 'kwkwk']",Negatif
"['pengunjung', 'membuang', 'sampah', 'sembarangan', 'tidak', 'kebersihan', 'pegawainya']",Negatif
"['tempatnya', 'kotor', 'tapi', 'wajar', 'sepi']",Negatif
"['pantai', 'ombak', 'bersahabat', 'cocok', 'anak', 'hutan', 'cemara', 'udangnya', 'lestari', 'baget', 'dijamin', 'tidak', 'kepanasan', 'deh']",Positif
"['pantai', 'sangat', 'bagus', 'rindang', 'cemara', 'udang', 'khas', 'bak', 'pantai', 'yogyakarta', 'destinasi', 'wisata', 'bagus', 'madura', 'pantai', 'madura', 'pantai', 'lombang', 'harapan', 'pemkab', 'mengelola', '…']",Positif
"['pantai', 'lombang', 'terletak', 'sumenep', 'pulau', 'madura', 'timur', 'kali', 'pantai', 'lombang', 'memuaskan', 'kelilingi', 'pohon', 'cemara', 'pasir', 'putihnya', 'lembut', 'suka', 'spot', 'foto', 'pohon', 'cemara', '…']",Positif
"['pantai', 'bersih', 'bagus', 'kunjungi', 'wisatawan', 'pulau', 'pantai', 'silahkan', 'berlibur', 'pantai', 'lembang']",Positif
"['akses', 'jalan', 'lokasi', 'diperbaiki', 'jelek', 'banget']",Negatif
"['pantainya', 'bersih', 'pasirnya', 'lembut', 'tuk', 'bejemur', 'badan']",Positif
"['pantainya', 'bersih', 'sangat', 'puas']",Positif
"['pasirnya', 'sampah']",Negatif
"['cocok', 'liburan', 'keluarga', 'murah', 'meriahsuasana', 'tenang', 'indahada', 'pohon', 'cemara', 'sejuk', 'dimata']",Positif
"['pantai', 'lombangternyata', 'tutup', 'haduh', 'eman', 'banget', '…']",Negatif
"['sangat', 'nyaman', 'tadabur', 'alam', 'pantainya', 'luas', 'pasirnya', 'putih', 'halus']",Positif
"['pantai', 'cemara', 'udang', 'indah', 'nyaman', 'menyusuri', 'pantai', 'kuda', 'air', 'degan', 'hijau', 'penghapus', 'dahaga']",Positif
"['bersih', 'pasir', 'putihnyasalah', 'pantai', 'patut', 'dikunjungiterlebih', 'disediakan', 'fasilitas', 'pendukung', 'mumpuni']",Positif
"['salah', 'destinasi', 'wisata', 'pantai', 'kabupaten', 'sumenep', 'butuh', 'menit', 'kota', 'sumenep', 'pantai', 'spesial', 'pepohonan', 'cemara', 'tumbuh', 'garis', 'pantai']",Positif
"['jalan', 'masuknya', 'tolong', 'perbaiki', 'yadan', 'toiletnya', 'sulit', 'cari', 'toilet', 'sore']",Negatif
"['pantai', 'indah', 'pasir', 'coklat', 'emas', 'rindangnya', 'pohon', 'cemara']",Positif
"['pantainya', 'bersih', 'cocok', 'santai', 'kuda', 'tepi', 'pantai']",Positif
"['pasirnya', 'putih', 'halus', 'pohon', 'cemara', 'udang', 'rindang', 'pantai', 'lombang', 'berlibur', 'belajar']",Positif
"['salah', 'pantai', 'keren', 'sumenep', 'madura', 'pantai', 'lombang', 'identik', 'ribuan', 'hamparan', 'cemara', 'udang', 'dipinggir', 'pantai', 'pengunjung', 'berteduh', 'tidak', 'kalah', 'indahnya', 'pasir', 'putihnya', 'sangat', 'halus', 'pantai', 'sangat', 'rekomended', 'mandi', 'ombak', 'gelombang', 'tenang']",Positif
"['salah', 'destinasi', 'wisata', 'pantai', 'pulau', 'madura', 'ditumbuhi', 'tanaman', 'cemara', 'udang']",Positif
"['wao', 'mengaku', 'anak', 'milenial', 'singgah', 'ditempat', 'keren', 'abiz', 'kece', 'trendy', 'spot', 'ftonyabanyak', 'murni', 'alam', 'bersih', 'menariknya', 'so', 'wisatawan', 'mampir', 'menu', 'makanan', 'pedagang', 'kaki', 'jaraknya', 'dihitung', 'surabaya']",Positif
"['biasaa', 'kereeennnn', 'pasir', 'putihnya', 'lembut', 'bangeettt', 'pemandangan', 'sungguh', 'menyejukkan', 'mata', '😍😍😍', '…']",Positif
"['sayang', 'sampah', 'bekas', 'pampers', 'plastik', 'dan lain-lain', 'akses', 'masuk', 'jelek', 'tertata', 'sayang']",Negatif
"['pantai', 'menawarkan', 'keindahan', 'alami']",Positif
"['kali', 'ngetrip', 'sanah', 'membuka', 'hlem', 'langsung', 'terbengong', 'keindahan', 'pantai', 'pasir', 'putih', 'lembut', 'tempatnya', 'bersih', 'hiburan', 'a', 'tarif', 'relatif', 'murah']",Positif
"['sayang', 'banget', 'kesana', 'hujan', 'tidak', 'reda', 'banjir']",Negatif
"['toiletnya', 'portable', 'kotor', 'terawat', 'toilet', 'tidak', 'bagus', 'semoga', 'pembangunan', 'renovasi', 'penambahan', 'toilet', 'permanent', 'cepat', 'selesai', 'bagus']",Negatif
"['pantainya', 'bersih']",Positif
"['bagus', 'sangat', 'tentram', 'damai', 'penduduknya', 'ramah', 'murah']",Positif
"['salah', 'pantai', 'hamparan', 'pasir', 'luas', 'asri']",Positif
"['fasilitas', 'dipantai', 'lumayan', 'toilet', 'warung', 'musolla', 'lupa', 'unk', 'mencoba', 'berkuda', 'spnjang', 'pinggiran', 'pantai']",Positif
"['pantai', 'pasir', 'luas', 'pagari', 'pohon', 'cemara', 'udang', 'luas']",Positif
"['pantai', 'lombang', 'pantai', 'khas', 'madura', 'orang', 'kesini', 'libur', 'lebaran', 'jajanan', 'bakso', 'rujak', 'pentol', 'jenis', 'mie', 'mie']",Positif
"['pantai', 'bersih', 'sampah', 'jalur', 'pantai', 'suguhkan', 'pemandangan', 'pohon', 'bonsai', 'cemara', 'udang', 'pemandangan', 'pantai', 'pulau', 'jawa', 'sangat', 'bagus', 'ombak', 'tidak', 'aman', 'bermain']",Positif
"['pantai', 'keren', 'diujung', 'pulau', 'madura', 'pasir', 'putih', 'sangat', 'bersih', 'air', 'jernih']",Positif
"['bagus', 'Cuma', 'perbaiki', 'semoga', 'cepat', 'selesai', '😁', '…']",Positif
"['akses', 'mudah', 'cocok', 'pecinta', 'pohon', 'cemara😁', '…']",Positif
"['pantainya', 'bagus', 'bersih', 'harga', 'makananminuman', 'murah']",Positif
"['pantai', 'indah', 'disertai', 'pohon', 'cemara', 'rimbun']",Positif
"['penuh', 'pohon', 'cemara', 'has', 'pantai', 'lombang', 'beritanya', 'pohon', 'cemara', 'tidak', 'tumbuh', 'tidak', 'diambil', 'tanahnya']",Positif
"['pantainya', 'bersih', 'pasir', 'putihnya', 'pemandangannya', 'indah', 'dipagari', 'cemara', 'udang', 'teduh', 'mempesona']",Positif
"['ombak', 'landai', 'cocok', 'wisata']",Positif
"['pantai', 'lombang', 'indah', 'sore']",Positif
"['pantai', 'pohon', 'cemara', 'udangnya', '👍', '…']",Positif
"['nyaman', 'melepas', 'lelah', 'liburan', 'keluarga']",Positif
"['bagus', 'terawat']",Negatif
"['suka', 'banget', 'pemandangannya', 'pohon', 'cemaranya', 'penyewaan', 'kuda', '👏👍👍👍', '…']",Positif
"['pembangunan', 'fasilitas']",Negatif
"['pantainya', 'enak', 'dikunjungi']",Positif
"['pemandangan', 'pantai', 'mempesona', 'hiasan', 'pohon', 'cemara', 'bibir', 'pantainya']",Positif
"['suasana', 'kondisi', 'pantai', 'tidak', 'sesuai', 'tiket', 'masuk']",Negatif
"['lokasinya', 'jorok', 'kotor', 'ekor', 'kuda', 'foto', 'foto', 'pengunjung']",Negatif
"['sayang', 'perawatan', 'gazebo', 'bocor', 'genteng', 'lepas']",Negatif
"['garis', 'pantai', 'luas', 'ombak', 'tenang', 'pohon', 'cemara']",Positif
"['pasirnya', 'putih', 'banget', 'lembutttt']",Positif
"['jalan', 'akses', 'masuk', 'rusak', 'parah', 'ranting', 'pohon', 'cemara', 'udang', 'tidak', 'dipangkas', 'bawa', 'bus', 'ekstra', 'hatihati', 'kamar', 'mandi', 'musholla', 'perlebar', 'wahana', 'permainan', 'anak', 'ramah', 'lingkungan']",Negatif
"['pantai', 'terpanjang', 'pasir', 'putih', 'sumenep', 'madura']",Positif
"['pantainya', 'bagus', 'bersih', 'sepi', 'jaraknya', 'kota', 'sumenep', 'ujung', 'timur', 'laut', 'pulau', 'madura', 'ombaknya', 'tidak', 'pemandangannya', 'indah', '…']",Positif
"['tapi', 'kebersihan', 'dijaga', 'bungkus', 'makanan', 'ringan', 'berserakan', 'pantai']",Negatif
"['suasana', 'tenang', 'murah', 'pasirnya', 'bagus', 'relaksasi', 'bibir', 'pantai', 'pohon', 'cemara', 'udang', 'indaah', 'mobil', 'bus', 'mini', 'bus', 'masuk', 'parkir', 'pantai', 'tiket', 'rb', 'liburan', 'rb', 'sd', 'rb']",Positif
"['pantainya', 'alami', 'enak', 'liburan', 'keluarga', 'asyik', 'disana', 'kuda', 'dijadikan', 'tumpangan', 'diatas', 'pasir', 'putihnya', 'pohon', 'cemara', 'bikin', 'suasana', 'pinggir', 'pantai', 'sejuk', 'kelebihan', 'tersendiri', 'pantai', 'lombang']",Positif
"['tempatnya', 'nyaman', 'enak', 'berkumpul', 'keluarga', 'betah']",Positif
"['pantainya', 'bagus']",Positif
"['bersih', 'suasana', 'tenang', 'suka', 'event']",Positif
"['bersih', 'spot', 'fotonya', 'disuka', 'rindang', 'sih', 'makanan', 'jual']",Positif
"['tempatnya', 'bagus', 'wisatanya', 'sejuk', 'loh', 'pengunjungnya', 'ramai']",Positif
"['pantainya', 'luas', 'panjaaang', 'nyaman', 'landai', 'ombak', 'tidak', 'banget', 'berenang', 'bocah', 'nyaman', 'landai', 'makanan', 'relatif', 'murah', 'toilet', 'upgrade']",Positif
"['sepi', 'tidak', 'sampah']",Negatif
"['pantai', 'indah', 'lihat', 'review', 'channel', 'yutub', 'positive', 'vibes', 'indonesia']",Positif
"['pantainya', 'keren', 'view', 'lumayan', 'bagus', 'tapi', 'ombaknya', 'ngerii', 'jngn', 'tengah😁', '…']",Positif
"['potensi', 'alam', 'tapi', 'november', 'kesini', 'terganggu', 'bau', 'limbah', 'tambak', 'buatan', 'udang', 'air', 'bekas', 'tambak', 'buang', 'lokasi', 'wisata', 'pemerintah daerah', 'sumenep', 'abai', 'kondisi', 'aset', 'wisata', 'terbesarnya', 'dirusak', 'sendiripayah']",Negatif
"['pantai', 'lombang', 'sumenep', 'indah']",Positif
['pengelolaannya'],Negatif
"['momentnya', 'cantik', 'banget', 'sore', 'sore', 'kesini']",Positif
"['lumayan', 'panas', 'tapi', 'tertolong', 'pohon', 'cemara', 'udang', 'rindang', 'sayang', 'fasilitas', 'kamar', 'mandi', 'kotor', 'kadang', 'tidak', 'air']",Negatif
"['tempatnya', 'bagus', 'bersih', 'pasirnya', 'putih', 'penyewaan', 'kuda', 'tiket', 'masuk', 'pantai']",Positif
"['menarik', 'dikunjungi', 'sejuk', 'cocok', 'berlibur', 'teman', 'keluarga', 'mudah', 'mencari', 'makanan', 'fasilitas', 'lengkap', 'warung', 'jasa', 'foto', 'kuda']",Positif
"['indah', 'teduh', 'fasilitas', 'lengkap', 'recommended']",Positif
"['perjalanannya', 'membosankan', '…']",Negatif
['sampahnya'],Negatif
"['pantai', 'bagus', 'berwisata', 'bareng', 'keluarga', 'tapi', 'sayang', 'roda', 'lalang', 'bibir', 'pantai']",Positif
"['pantai', 'sangat', 'indah', 'pasir', 'putih', 'membentang', 'pagar', 'pohonw', 'cemara', 'pantai', 'alami', 'top', 'pantainya', 'bersih', 'pokok', 'cantik', 'banget']",Positif
"['indah', 'namanya', 'elok', 'tempatnya', 'harapan', 'menginjakkan', 'keluarga', 'ku', 'kelak😇', '…']",Positif
"['pantai', 'bagus', 'kota', 'sumemep', 'cemaraa', 'warung', 'rujak', 'langganan', 'mantap', 'es', 'degannya']",Positif
"['terbaik', 'pasirnyacm', 'penataannya', 'kurangsayang', 'sebenernya', 'potensi', 'wisata', 'terbengkalai', 'perbaikan', 'dikit']",Negatif
"['toiletnya', 'mendukung']",Negatif
"['pemandanga', 'sangat', 'indah', 'mempesona']",Positif
"['tempatnya', 'bagus', 'banget😍😍😍', '…']",Positif
"['hamparan', 'pasir', 'putih', 'sangat', 'luasdisertai', 'pohon', 'cemara', 'udangsangat', 'indahhcocok', 'bersantai']",Positif
"['pengelolaannya', 'maksimal']",Negatif
"['sangat', 'bagus', 'pantainya😊😍😍😍', '…']",Positif
"['aman', 'nyaman', 'kemah', 'pleton', 'airnya', 'jernih', 'warga', 'ramah']",Positif
"['tidak', 'nyaman', 'menikmati', 'udara', 'sepi', 'penjual']",Negatif
"['pantai', 'enak', 'berlibur', 'keluargahamparan', 'pasirnya', 'luas', 'banget']",Positif
"['bagus', 'nyantai']",Positif
"['x', 'kepantai', 'tapi', 'ditutup', 'pemberian', 'informasi', 'publik', 'jauhjauh', 'pamekasan', 'tolong', 'buatkan', 'website', 'resmi', 'infoinfo', 'terbarunya']",Negatif
"['pantai', 'lombang', 'pantai', 'sangat', 'indah', 'memiliki', 'bibir', 'pantai', 'suasana', 'alam', 'enak']",Positif
"['wisata', 'pantai', 'sejuk', 'rindang', 'penuh', 'cemara']",Positif
"['pantai', 'lombang', 'buka', 'tidak', 'raya', 'mohon', 'infonya']",Negatif
"['pemandangannya', 'sangat', 'bagus', 'cocok', 'liburan', 'keluarga', 'teman']",Positif
"['sayang', 'sewa', 'kudanya', 'mahal']",Negatif
"['sih', 'kota', 'tapi', 'bagus', 'lihat', 'sunset', 'pasirnya', 'bagus', 'cocok', 'wisata', 'keluarga']",Positif
"['pemandangan', 'pantai', 'ny', 'sangat', 'bagus', 'indah', 'pohon', 'cemara', 'udang', 'asri', 'bersih', 'pantai', 'ny']",Positif
"['tepi', 'pantai', 'full', 'cemara', 'udang', 'adeem', 'pantai', 'bersih', 'pasir', 'berwarna', 'coklat', 'muda']",Positif
"['nyaman', 'kebersihan', 'dijaga', 'sampah²', 'berserakan', 'sampah', 'plastik', '🙏🙏🙏', '…']",Negatif
"['toiletnya', 'kotor', 'susah', 'air']",Negatif
"['fasilitas', 'toilet', 'pemerintah', 'tersedia', 'tidak']",Negatif
"['luas', 'sejuk', 'sangat', 'menyenangkan']",Positif
"['fotonya', 'bagus²', 'tapi', 'sampahnya', 'jelek', '🤭', '…']",Negatif
"['pantainya', 'asik', 'refreshing', 'tubuh', 'tapi', 'tolong', 'bersiin', 'pinggir', 'pantainya', 'ok']",Positif
"['kasih', 'pengumuman', 'tutup', 'kecewa']",Negatif
"['peningkatan', 'aroma', 'tidak', 'sedap', 'kencing', 'kuda', 'mengganggu', 'asyikan']",Negatif
"['pantainya', 'sanggat', 'indah', 'anginya', 'bikin', 'sejuk', 'pohon', 'cemaranyaa']",Positif
"['pantai', 'lombang', 'teduh', 'pohon', 'cemara', 'dijamin', 'betah', 'berlamalama', 'pantai']",Positif
"['bagus', 'bersih', 'ciri', 'khasnya', 'pohon', 'cemara']",Positif
"['pantainya', 'bagus', 'banget']",Positif
"['ramai', 'libur', 'lebaran']",Positif
"['pantai', 'pasir', 'putih', 'ditumbuhi', 'pohon', 'cemara', 'udang', 'disekelilingnya', 'oke']",Positif
"['tempatnya', 'bagus']",Positif
"['liburan', 'nyaman', 'bagus']",Positif
"['wisatanya', 'bagus', 'daerah', 'kabupaten', 'sumenep']",Positif
"['pantai', 'indah', 'lambang', 'wisata', 'ujung', 'timur', 'pulau', 'madura']",Positif
"['pasir', 'putih', 'dikuta', 'bali', 'sayang', 'fasilitas', 'bagus', 'lombanng', 'kuta', 'bali']",Positif
"['jalan', 'masuk', 'gerbang', 'tiket', 'diaspal']",Negatif
"['wihhh', 'pantainya', 'sangat', 'indahh', 'bertebaran', 'cemara', 'udang', 'persis', 'negri', 'dongeng']",Positif
"['sampah', 'berserakan']",Negatif
"['bagus', 'banget', 'dingin', 'tempatnya']",Positif
"['bersih', 'pantainya', 'weekdays', 'sepi', 'ramenya', 'weekend']",Positif
"['sangat', 'direkomendasikan', 'dikunjungi']",Positif
"['tempatnya', 'bagus', 'pemandangannya', 'cantik', 'banget']",Positif
"['keren', 'banget', 'pantainya', '😍', '…']",Positif
"['tempatnya', 'asyik']",Positif
"['kebersihannya', 'menurun', 'terawat']",Negatif
"['pantai', 'panjangpasir', 'lembut', 'cemara', 'udang', 'bikin', 'teduhombak']",Positif
"['pantai', 'supermantap', 'tingkatkan', 'wash', 'and', 'clean']",Positif
"['pantai', 'lombang', 'sangat', 'menarik', 'patut', 'kunjungi']",Positif
"['pulangnya', 'magrip', 'gelap', 'penerangan', 'mohon', 'diperhatikan']",Negatif
"['tempatnya', 'sangat', 'bagus', 'sore']",Positif
"['sampah', 'memadahi', 'menjaga', 'kebersihan']",Negatif
"['bagus', 'indah', 'khusus', 'weekend', 'pedagangnya']",Positif
"['pantai', 'sejuk', 'nyaman']",Positif
"['pantai', 'bagus', 'istirahat', 'nyaman', 'bersih']",Positif
"['pantai', 'sejuk', 'hutan', 'cemara', 'udang']",Positif
"['pasirnya', 'putih', 'terjaga', 'keaslian', 'pantainya']",Positif
"['pantai', 'sangat', 'indah', 'mempesona🖒🖒🖒', '…']",Positif
"['pasir', 'putihnya', 'bagus', 'masyarakat', 'skitar', 'ramah']",Positif
"['fasilitasnya', 'bagus']",Positif
"['pengelolaan', 'cenderung', 'tidak', 'terawat']",Negatif
"['unik', 'indah', 'penghilang', 'kepenatan', 'kota']",Positif
"['keren', 'tempatnyapantainya', 'luas']",Positif
"['pantai', 'bagus', 'asri', 'tidak', 'kalah', 'kuta', 'bali']",Positif
"['sangat', 'bagus', 'indah', 'pandang']",Positif
"['laut', 'bersih', 'pasir', 'indah']",Positif
"['bagus', 'pasirnya', 'lembut']",Positif
"['pantai', 'menyenangkan', 'bagus', 'dn', 'indah']",Positif
"['wisata', 'menenangkan']",Positif
"['pantai', 'bersih', 'bagus']",Positif
"['bagus', 'banget', 'pemandangannya']",Positif
"['bagus', 'pantainya']",Positif
"['dikelilingi', 'pohon', 'cemara', 'berjejer', 'bonsai', 'cemara']",Positif
"['tidak', 'permainannya']",Negatif
"['bagus', 'nyaman']",Positif
"['bagussss', 'bersih']",Positif
"['ditutup', 'buka', 'yah']",Negatif
"['bagus', 'rekreasi']",Positif
"['tempatnya', 'indah', 'nan', 'asri']",Positif
"['tempatnya', 'kotor', 'bersih']",Negatif
"['sangat', 'mempesona']",Positif
"['pantai', 'cantik', 'sumenep']",Positif
['nyaman'],Positif
"['pntai', 'sangat', 'indah', 'pmadura']",Positif
"['toiletny', 'ditambahin']",Negatif
['fasilitasnya'],Positif
"['super', 'mantap']",Positif
['mntap'],Negatif
"['ditutup', 'saudara laki-laki']",Negatif
['kesana'],Negatif
['indah'],Positif
"['indah', 'hijau']",Positif
"['indah', 'pantainya']",Positif
"['keajaiban', 'alam', 'apinya', 'biru', 'merah', 'suasana', 'malam', 'dingin', 'hangat', 'duduk', 'bakar', 'jagung', 'api', 'tidak', 'kunjung', 'padam']",Negatif
"['wisata', 'instragamablelokasi', 'panas']",Negatif
"['wisata', 'unik', 'toilet', 'mushola', '…']",Positif
"['salah', 'wisata', 'andalan', 'pamekasan', 'api', 'tidak', 'kunjung', 'padam', 'letaknya', 'daerak', 'tlanakan', 'orang', 'menyebutnya', 'jengkah', 'lokasinya', 'pintu', 'masuk', 'gerbang', 'pamekasan', 'sebelah', 'kiri', '…']",Negatif
"['wisata', 'motor', 'ponaan', 'kondisinya', 'lumayan', 'siang', 'api', 'tidak', 'tidak', 'tiket', 'masuk', 'gratis', '…']",Positif
"['api', 'menyalanyala', 'kota', 'pamekasan', 'madura', 'cocok', 'dikunjungi', 'sore', 'malam', 'memanggang', 'jagung', 'lainlain']",Positif
"['salah', 'wisata', 'dikunjungi', 'madura', 'pamekasan', 'daya', 'tariknya', 'api', 'menyala', 'malam', 'souvenir', 'dijual', 'oleholeh']",Negatif
"['tukang', 'parkirnya', 'sok', 'jagoan', 'sebelah', 'kiri', 'kayak', 'wisata', 'ajak', 'dikandangnya', 'sok', 'jagoan', 'tidak', 'kesana', 'tidak']",Negatif
"['wisata', 'bagus', 'unik', 'api', 'ber', 'puluh', 'tidak', 'padam', 'turun', 'hujan']",Positif
"['dikelola', 'menarik']",Negatif
"['maha', 'allah', 'kebesaran', 'allah', 'api', 'menyala', 'rombongan', 'pondok', 'lubabul', 'fattah', 'tulungagung', 'jawa', 'timur', 'berkunjung', 'des']",Negatif
"['homestaymampir', 'kesini', 'api', 'tidak', 'kunjung', 'padam', 'pamekasan', 'pulau', 'madura', 'jawa', 'timur']",Negatif
"['objek', 'wisata', 'api', 'tidak', 'padam', 'madura']",Negatif
"['nyaman', 'menjernihkan', 'pikiran', 'membeli', 'khas', 'madura', 'harga', 'terjangkau']",Positif
"['tempatnya', 'berdebu', 'tidak', 'pembuangan', 'sampah', 'pengunjung', 'membuang', 'sampah', 'sembarangan']",Negatif
"['berencana', 'berkunjung', 'berekspektasi', 'tujuan', 'ucapkan', 'subhanallah', 'jualan', 'pilihan', 'belnja', 'oleholeh']",Negatif
"['hidup', 'menyentuh', 'usia', 'kepala', '😅', 'asyik', 'berkesan', 'salam', 'owner', 'sh', 'grosir', 'supplierhandukcom', 'pusat', 'handuk', 'souvenir', 'unik', 'bermanfaat', '…']",Negatif
"['disarankan', 'klok', 'kesana', 'malam', 'siang', 'sore', 'panas']",Positif
"['bagus', 'ramai']",Positif
"['api', 'tidak', 'kunjung', 'padam', 'madura', 'api', 'menyala', 'tidak', 'habisnya', 'orang', 'menggunakannya', 'keperluan', 'sehari', 'memasak', 'merebus', 'air', 'membakar', 'jagung']",Negatif
"['saran', 'sih', 'lebih baik', 'berkunjung', 'malam', 'lokasi', 'mudah', 'akses', '…']",Negatif
['dikelola'],Negatif
"['wisata', 'madura', 'wajib', 'berkunjung', 'membeli', 'khas', 'madura', 'salam', 'masjid', 'miftahul', 'huda', 'bendorejo', 'kediri', 'minggu', 'des']",Negatif
"['mantap', 'sih', 'beneran', 'api', 'digosok²', 'tanah']",Positif
"['api', 'alam', 'tidak', 'lekang', 'zaman', 'dihimpit', 'kemajuan', 'zaman', 'benderang', 'warga', 'harga', 'sovenir', 'terjangkau']",Negatif
"['wiiihtop', 'bangett', 'anugrah', 'tuhan', 'yme', 'terhadsp', 'hambanya', 'bersyukur', 'pemadangan', 'menakjubkan', 'pulau', 'maduraapi', 'tidak', 'kunjung', 'padampesonamu', 'takjub']",Positif
"['fenomena', 'alam', 'api', 'abadi', 'gas', 'alam', 'terbakar', 'bagus', 'dikelola', 'dijaga', 'kebersihan', 'sisa', 'sampah', 'orang', 'bakar', 'jagung', 'mie']",Positif
"['wisata', 'alam', 'terpelihara']",Positif
"['masya', 'allah', 'ruuaar', 'tanah', 'api', 'tidak', 'kunjung', 'padam']",Positif
"['penasaran', 'pingin', 'lihat', 'mashaallah', 'kuasa', 'allah']",Positif
"['bagus', 'tapi', 'sampah']",Negatif
"['tukang', 'parkir', 'suka', 'paksa', 'banget', 'sampek²', 'bertengkar', 'sbelum', 'masuk']",Negatif
"['bagus', 'malam', 'hati', 'malam', 'jalan', 'sempit', 'berpapasan', 'parkir', 'restribusi', 'jual', 'jagung', 'bakar', 'jagung', 'hrgnya']",Negatif
"['salah', 'wisata', 'alam', 'eksotis', 'pamekasan', 'sangat', 'recommended', 'dikunjungi', 'malam']",Positif
