Ulasan,Tanggal_Ulasan,Label,lokasi,hasil_ulasan,cleaning,tokenisasi,normalisasi,stopword
Kondisi pantai  agak kurang terawat. ,2 tahun lalu,Negatif,pantai lombang,kondisi pantai  agak kurang terawat. ,kondisi pantai agak kurang terawat.,"['kondisi', 'pantai', 'agak', 'kurang', 'terawat', '.']","['kondisi', 'pantai', 'agak', 'kurang', 'terawat', '.']","['kondisi', 'pantai', 'terawat', '.']"
"Jalan menuju tempat wisata bagus mulus, bisa di lalui dg lancar. Pantainya juga terawat, bersih. Kalo mw main pasir buat anak2 juga cocok. Harga tiket masuk pas weekend 1org kena 10rb. Wc nya juga bersih. Pantainya Cocok buat piknik, soalnya banyak pohon pinusnya jd adem.",4 tahun lalu,Positif,pantai lombang,"jalan menuju tempat wisata bagus mulus, bisa di lalui dg lancar. pantainya juga terawat, bersih. kalo mw main pasir buat anak2 juga cocok. harga tiket masuk pas weekend 1org kena 10rb. wc nya juga bersih. pantainya cocok buat piknik, soalnya banyak pohon pinusnya jd adem.","jalan menuju tempat wisata bagus mulus, bisa di lalui dg lancar. pantainya juga terawat, bersih. kalo mw main pasir buat anak juga cocok. harga tiket masuk pas weekend org kena rb. wc nya juga bersih. pantainya cocok buat piknik, soalnya banyak pohon pinusnya jd adem.","['jalan', 'menuju', 'tempat', 'wisata', 'bagus', 'mulus', ',', 'bisa', 'di', 'lalui', 'dg', 'lancar', '.', 'pantainya', 'juga', 'terawat', ',', 'bersih', '.', 'kalo', 'mw', 'main', 'pasir', 'buat', 'anak', 'juga', 'cocok', '.', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'org', 'kena', 'rb', '.', 'wc', 'nya', 'juga', 'bersih', '.', 'pantainya', 'cocok', 'buat', 'piknik', ',', 'soalnya', 'banyak', 'pohon', 'pinusnya', 'jd', 'adem', '.']","['jalan', 'menuju', 'tempat', 'wisata', 'bagus', 'mulus', ',', 'bisa', 'di', 'lalui', 'dengan', 'lancar', '.', 'pantainya', 'juga', 'terawat', ',', 'bersih', '.', 'kalau', 'mau', 'main', 'pasir', 'buat', 'anak', 'juga', 'cocok', '.', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'orang', 'kena', 'rb', '.', 'wc', 'nya', 'juga', 'bersih', '.', 'pantainya', 'cocok', 'buat', 'piknik', ',', 'soalnya', 'banyak', 'pohon', 'pinusnya', 'jadi', 'adem', '.']","['jalan', 'wisata', 'bagus', 'mulus', ',', 'lalui', 'lancar', '.', 'pantainya', 'terawat', ',', 'bersih', '.', 'main', 'pasir', 'anak', 'cocok', '.', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'orang', 'kena', 'rb', '.', 'wc', 'bersih', '.', 'pantainya', 'cocok', 'piknik', ',', 'pohon', 'pinusnya', 'adem', '.']"
"Pantai Lokasinya di ujung timur Pulang Madura, tepatnya di kabupaten Sumenep. Dari kota Sumenep sekitar 20km ke arah Timur Daya. Pantainya sangat Indah dengan hamparan pasir putihnya yang merupaka",4 tahun lalu,Positif,pantai lombang,"pantai lokasinya di ujung timur pulang madura, tepatnya di kabupaten sumenep. dari kota sumenep sekitar 20km ke arah timur daya. pantainya sangat indah dengan hamparan pasir putihnya yang merupaka","pantai lokasinya di ujung timur pulang madura, tepatnya di kabupaten sumenep. dari kota sumenep sekitar km ke arah timur daya. pantainya sangat indah dengan hamparan pasir putihnya yang merupaka","['pantai', 'lokasinya', 'di', 'ujung', 'timur', 'pulang', 'madura', ',', 'tepatnya', 'di', 'kabupaten', 'sumenep', '.', 'dari', 'kota', 'sumenep', 'sekitar', 'km', 'ke', 'arah', 'timur', 'daya', '.', 'pantainya', 'sangat', 'indah', 'dengan', 'hamparan', 'pasir', 'putihnya', 'yang', 'merupaka']","['pantai', 'lokasinya', 'di', 'ujung', 'timur', 'pulang', 'madura', ',', 'tepatnya', 'di', 'kabupaten', 'sumenep', '.', 'dari', 'kota', 'sumenep', 'sekitar', 'kamu', 'ke', 'arah', 'timur', 'daya', '.', 'pantainya', 'sangat', 'indah', 'dengan', 'hamparan', 'pasir', 'putihnya', 'yang', 'merupaka']","['pantai', 'lokasinya', 'ujung', 'timur', 'pulang', 'madura', ',', 'tepatnya', 'kabupaten', 'sumenep', '.', 'kota', 'sumenep', 'arah', 'timur', 'daya', '.', 'pantainya', 'sangat', 'indah', 'hamparan', 'pasir', 'putihnya', 'merupaka']"
"Tempat bagus untuk foto, ada kuda & makanan d pinggir pantai.",6 bulan lalu,Positif,pantai lombang,"tempat bagus untuk foto, ada kuda & makanan d pinggir pantai.","tempat bagus untuk foto, ada kuda & makanan d pinggir pantai.","['tempat', 'bagus', 'untuk', 'foto', ',', 'ada', 'kuda', '&', 'makanan', 'd', 'pinggir', 'pantai', '.']","['tempat', 'bagus', 'untuk', 'foto', ',', 'ada', 'kuda', '&', 'makanan', 'di', 'pinggir', 'pantai', '.']","['bagus', 'foto', ',', 'kuda', '&', 'makanan', 'pinggir', 'pantai', '.']"
"Dari kota perjalanan sekitar 1jam an. Jalan menuju kesana sudah bagus tidak seperti dulu banyak lubang.Pantai luas, bersih dan banyak fasilitas umum.",2 tahun lalu,Positif,pantai lombang,"dari kota perjalanan sekitar 1jam an. jalan menuju kesana sudah bagus tidak seperti dulu banyak lubang.pantai luas, bersih dan banyak fasilitas umum.","dari kota perjalanan sekitar jam an. jalan menuju kesana sudah bagus tidak seperti dulu banyak lubang.pantai luas, bersih dan banyak fasilitas umum.","['dari', 'kota', 'perjalanan', 'sekitar', 'jam', 'an', '.', 'jalan', 'menuju', 'kesana', 'sudah', 'bagus', 'tidak', 'seperti', 'dulu', 'banyak', 'lubang.pantai', 'luas', ',', 'bersih', 'dan', 'banyak', 'fasilitas', 'umum', '.']","['dari', 'kota', 'perjalanan', 'sekitar', 'jam', 'an', '.', 'jalan', 'menuju', 'kesana', 'sudah', 'bagus', 'tidak', 'seperti', 'dulu', 'banyak', 'lubang.pantai', 'luas', ',', 'bersih', 'dan', 'banyak', 'fasilitas', 'umum', '.']","['kota', 'perjalanan', 'jam', 'an', '.', 'jalan', 'kesana', 'bagus', 'tidak', 'lubang.pantai', 'luas', ',', 'bersih', 'fasilitas', '.']"
Pantai Lombang cukup terkenal sebagai salah satu destinasi wisata di Pulau Madura. Hamparan pasir pantainya luas dan lumayan bersih. Banyak pohon cemara di sekeliling pantai. …,4 tahun lalu,Positif,pantai lombang,pantai lombang cukup terkenal sebagai salah satu destinasi wisata di pulau madura. hamparan pasir pantainya luas dan lumayan bersih. banyak pohon cemara di sekeliling pantai. …,pantai lombang cukup terkenal sebagai salah satu destinasi wisata di pulau madura. hamparan pasir pantainya luas dan lumayan bersih. banyak pohon cemara di sekeliling pantai. ?,"['pantai', 'lombang', 'cukup', 'terkenal', 'sebagai', 'salah', 'satu', 'destinasi', 'wisata', 'di', 'pulau', 'madura', '.', 'hamparan', 'pasir', 'pantainya', 'luas', 'dan', 'lumayan', 'bersih', '.', 'banyak', 'pohon', 'cemara', 'di', 'sekeliling', 'pantai', '.', '?']","['pantai', 'lombang', 'cukup', 'terkenal', 'sebagai', 'salah', 'satu', 'destinasi', 'wisata', 'di', 'pulau', 'madura', '.', 'hamparan', 'pasir', 'pantainya', 'luas', 'dan', 'lumayan', 'bersih', '.', 'banyak', 'pohon', 'cemara', 'di', 'sekeliling', 'pantai', '.', '?']","['pantai', 'lombang', 'terkenal', 'salah', 'destinasi', 'wisata', 'pulau', 'madura', '.', 'hamparan', 'pasir', 'pantainya', 'luas', 'lumayan', 'bersih', '.', 'pohon', 'cemara', 'sekeliling', 'pantai', '.', '?']"
"Ada hutan cemara udang, bikin sejuk, dan rindang. Sehingga bisa tidak kepanasan saat matahari terik-teriknya, siang hari. …",2 tahun lalu,Positif,pantai lombang,"ada hutan cemara udang, bikin sejuk, dan rindang. sehingga bisa tidak kepanasan saat matahari terik-teriknya, siang hari. …","ada hutan cemara udang, bikin sejuk, dan rindang. sehingga bisa tidak kepanasan saat matahari terik-teriknya, siang hari. ?","['ada', 'hutan', 'cemara', 'udang', ',', 'bikin', 'sejuk', ',', 'dan', 'rindang', '.', 'sehingga', 'bisa', 'tidak', 'kepanasan', 'saat', 'matahari', 'terik-teriknya', ',', 'siang', 'hari', '.', '?']","['ada', 'hutan', 'cemara', 'udang', ',', 'bikin', 'sejuk', ',', 'dan', 'rindang', '.', 'sehingga', 'bisa', 'tidak', 'kepanasan', 'saat', 'matahari', 'terik-teriknya', ',', 'siang', 'hari', '.', '?']","['hutan', 'cemara', 'udang', ',', 'bikin', 'sejuk', ',', 'rindang', '.', 'tidak', 'kepanasan', 'matahari', 'terik-teriknya', ',', 'siang', '.', '?']"
"fasilitas penunjangnya kurang terawat seperti jalan rusak, kamar mandi tidak terawat dan musholla tempat wudhu airnya mati.",4 tahun lalu,Negatif,pantai lombang,"fasilitas penunjangnya kurang terawat seperti jalan rusak, kamar mandi tidak terawat dan musholla tempat wudhu airnya mati.","fasilitas penunjangnya kurang terawat seperti jalan rusak, kamar mandi tidak terawat dan musholla tempat wudhu airnya mati.","['fasilitas', 'penunjangnya', 'kurang', 'terawat', 'seperti', 'jalan', 'rusak', ',', 'kamar', 'mandi', 'tidak', 'terawat', 'dan', 'musholla', 'tempat', 'wudhu', 'airnya', 'mati', '.']","['fasilitas', 'penunjangnya', 'kurang', 'terawat', 'seperti', 'jalan', 'rusak', ',', 'kamar', 'mandi', 'tidak', 'terawat', 'dan', 'musholla', 'tempat', 'wudhu', 'airnya', 'mati', '.']","['fasilitas', 'penunjangnya', 'terawat', 'jalan', 'rusak', ',', 'kamar', 'mandi', 'tidak', 'terawat', 'musholla', 'wudhu', 'airnya', 'mati', '.']"
ombaknya kecil tdk bisa buat surfing. …,4 tahun lalu,Negatif,pantai lombang,ombaknya kecil tdk bisa buat surfing. …,ombaknya kecil tdk bisa buat surfing. ?,"['ombaknya', 'kecil', 'tdk', 'bisa', 'buat', 'surfing', '.', '?']","['ombaknya', 'kecil', 'tidak', 'bisa', 'buat', 'surfing', '.', '?']","['ombaknya', 'tidak', 'surfing', '.', '?']"
pantainya bersih dengan ombak cenderung tenang. disarankan untuk datang saat low season untuk menghindari kepadatan pengunjung. di sini banyak pohon cemara dan bisa sewa kuda juga untuk jalan jalan di pinggir pantai. ada kedai-kedai penjual …,3 tahun lalu,Positif,pantai lombang,pantainya bersih dengan ombak cenderung tenang. disarankan untuk datang saat low season untuk menghindari kepadatan pengunjung. di sini banyak pohon cemara dan bisa sewa kuda juga untuk jalan jalan di pinggir pantai. ada kedai-kedai penjual …,pantainya bersih dengan ombak cenderung tenang. disarankan untuk datang saat low season untuk menghindari kepadatan pengunjung. di sini banyak pohon cemara dan bisa sewa kuda juga untuk jalan jalan di pinggir pantai. ada kedai-kedai penjual ?,"['pantainya', 'bersih', 'dengan', 'ombak', 'cenderung', 'tenang', '.', 'disarankan', 'untuk', 'datang', 'saat', 'low', 'season', 'untuk', 'menghindari', 'kepadatan', 'pengunjung', '.', 'di', 'sini', 'banyak', 'pohon', 'cemara', 'dan', 'bisa', 'sewa', 'kuda', 'juga', 'untuk', 'jalan', 'jalan', 'di', 'pinggir', 'pantai', '.', 'ada', 'kedai-kedai', 'penjual', '?']","['pantainya', 'bersih', 'dengan', 'ombak', 'cenderung', 'tenang', '.', 'disarankan', 'untuk', 'datang', 'saat', 'kalau', 'season', 'untuk', 'menghindari', 'kepadatan', 'pengunjung', '.', 'di', 'sini', 'banyak', 'pohon', 'cemara', 'dan', 'bisa', 'sewa', 'kuda', 'juga', 'untuk', 'jalan', 'jalan', 'di', 'pinggir', 'pantai', '.', 'ada', 'kedai-kedai', 'penjual', '?']","['pantainya', 'bersih', 'ombak', 'cenderung', 'tenang', '.', 'disarankan', 'season', 'menghindari', 'kepadatan', 'pengunjung', '.', 'pohon', 'cemara', 'sewa', 'kuda', 'jalan', 'jalan', 'pinggir', 'pantai', '.', 'kedai-kedai', 'penjual', '?']"
" sayang jalan menuju lokasi banyak yang rusak, banyak sampah juga berserakan, kayak kurang terawat gitu. semoga ke depannya pihak yang mengelola bisa memperbaikinya, bisa jadi salah 1 opsi tempat wisata di Sumenep.",4 tahun lalu,Negatif,pantai lombang," sayang jalan menuju lokasi banyak yang rusak, banyak sampah juga berserakan, kayak kurang terawat gitu. semoga ke depannya pihak yang mengelola bisa memperbaikinya, bisa jadi salah 1 opsi tempat wisata di sumenep.","sayang jalan menuju lokasi banyak yang rusak, banyak sampah juga berserakan, kayak kurang terawat gitu. semoga ke depannya pihak yang mengelola bisa memperbaikinya, bisa jadi salah  opsi tempat wisata di sumenep.","['sayang', 'jalan', 'menuju', 'lokasi', 'banyak', 'yang', 'rusak', ',', 'banyak', 'sampah', 'juga', 'berserakan', ',', 'kayak', 'kurang', 'terawat', 'gitu', '.', 'semoga', 'ke', 'depannya', 'pihak', 'yang', 'mengelola', 'bisa', 'memperbaikinya', ',', 'bisa', 'jadi', 'salah', 'opsi', 'tempat', 'wisata', 'di', 'sumenep', '.']","['sayang', 'jalan', 'menuju', 'lokasi', 'banyak', 'yang', 'rusak', ',', 'banyak', 'sampah', 'juga', 'berserakan', ',', 'kayak', 'kurang', 'terawat', 'begitu', '.', 'semoga', 'ke', 'depannya', 'pihak', 'yang', 'mengelola', 'bisa', 'memperbaikinya', ',', 'bisa', 'jadi', 'salah', 'opsi', 'tempat', 'wisata', 'di', 'sumenep', '.']","['sayang', 'jalan', 'lokasi', 'rusak', ',', 'sampah', 'berserakan', ',', 'kayak', 'terawat', '.', 'semoga', 'depannya', 'mengelola', 'memperbaikinya', ',', 'salah', 'opsi', 'wisata', 'sumenep', '.']"
pantainya kurang terawat. Dan kurangnya fasilitas umum,2 tahun lalu,Negatif,pantai lombang,pantainya kurang terawat. dan kurangnya fasilitas umum,pantainya kurang terawat. dan kurangnya fasilitas umum,"['pantainya', 'kurang', 'terawat', '.', 'dan', 'kurangnya', 'fasilitas', 'umum']","['pantainya', 'kurang', 'terawat', '.', 'dan', 'kurangnya', 'fasilitas', 'umum']","['pantainya', 'terawat', '.', 'kurangnya', 'fasilitas']"
suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang... aman buat anak2 mandi....,setahun lalu,Positif,pantai lombang,suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang... aman buat anak2 mandi....,suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang... aman buat anak mandi....,"['suasana', 'laut', 'tenang', 'dengan', 'hamparan', 'pasir', 'putih', 'serta', 'hijaunya', 'pepohonan', 'cemara', 'udang', '...', 'aman', 'buat', 'anak', 'mandi', '....']","['suasana', 'laut', 'tenang', 'dengan', 'hamparan', 'pasir', 'putih', 'serta', 'hijaunya', 'pepohonan', 'cemara', 'udang', '...', 'aman', 'buat', 'anak', 'mandi', '....']","['suasana', 'laut', 'tenang', 'hamparan', 'pasir', 'putih', 'hijaunya', 'pepohonan', 'cemara', 'udang', '...', 'aman', 'anak', 'mandi', '....']"
